ID,Case Name,Filing Year,Description,Case Categories,Principal Laws
1005,Center for Biological Diversity v. National Highway Traffic Safety Administration,2006,"Challenge to rule setting CAFE standards for cars and light trucks.
",Federal Statutory Claims>NEPA,Center for Biological Diversity v. National Highway Traffic Safety Administration
1009,Center for Biological Diversity v. United States Department of the Interior,2007,"Challenge to leasing plan for oil and gas development, including on grounds that climate change impacts were not considered.",Federal Statutory Claims>NEPA,Center for Biological Diversity v. United States Department of the Interior
1025,WildEarth Guardians v. United States Forest Service,2008,Challenge to Forest Service’s EIS for failure to mitigate climate impacts of methane venting.,Federal Statutory Claims>NEPA,WildEarth Guardians v. United States Forest Service
1028,"Sierra Club v. Two Elk Generation Partners, L.P.",2009,Challenge to air emissions permit for proposed coal-fired power plant.,Federal Statutory Claims>NEPA,"Sierra Club v. Two Elk Generation Partners, L.P."
1032,Western Watersheds Project v. Salazar,2008,"Challenge to environmental impact statements for resource management plans in six states, including for failure to take into account climate change.",Federal Statutory Claims>NEPA,Western Watersheds Project v. Salazar
1036,North Slope Borough v. Minerals Management Service,2007,Challenge to federal government’s decision not to supplement EIS in connection with its plan to sell oil and gas leases in the Beaufort Sea.,Federal Statutory Claims>NEPA,North Slope Borough v. Minerals Management Service
1043,Sierra Club v. Clinton,2009,"Challenge to cross-border pipeline that would bring oil from Canadian tar sands to the U.S.
",Federal Statutory Claims>NEPA,Sierra Club v. Clinton
1045,Natural Resources Defense Council v. United States Department of State,2008,"Challenge to planned pipeline that would carry oil from Canadian tar sands to U.S.
",Federal Statutory Claims>NEPA,Natural Resources Defense Council v. United States Department of State
1048,Conservation Northwest v. Rey,2008,Challenge to Forest Service’s adoption of EIS concerning forest management plan.,Federal Statutory Claims>NEPA,Conservation Northwest v. Rey
1051,In re Black Mesa Complex Permit Revision,2009,Challenge to Forest Service’s adoption of EIS concerning forest management plan.,Federal Statutory Claims>NEPA,In re Black Mesa Complex Permit Revision
1059,Natural Resources Defense Council v. United States Army Corps of Engineers,2009,"Challenge to coal-to-liquid fuel plant.
",Federal Statutory Claims>NEPA,Natural Resources Defense Council v. United States Army Corps of Engineers
1062,Western Watersheds Project v. United States Forest Service,2009,Challenge to federal authorization of grazing on certain federal lands.,Federal Statutory Claims>NEPA,Western Watersheds Project v. United States Forest Service
1065,Natural Resources Defense Council v. United States Bureau of Land Management,2010,"Challenge to BLM’s authorization of oil and gas development on federal land.
",Federal Statutory Claims>NEPA,Natural Resources Defense Council v. United States Bureau of Land Management
1069,"North Carolina Alliance for Transportation Reform, Inc. v. United States Department of Transportation",2008,"Challenge to federally funded highway project, including on grounds that it did not evaluate greenhouse gas impacts.
",Federal Statutory Claims>NEPA,"North Carolina Alliance for Transportation Reform, Inc. v. United States Department of Transportation"
1072,Sierra Club v. Federal Highway Administration,2009,"Challenge to construction of highway in northwest Houston.
",Federal Statutory Claims>NEPA,Sierra Club v. Federal Highway Administration
1077,Shenandoah Valley Network v. Capka,2007,"Challenge to the Federal Highway Administration’s issuance of record of decision regarding highway improvement study.
",Federal Statutory Claims>NEPA,Shenandoah Valley Network v. Capka
1087,WildEarth Guardians v. Jewell,2010,"Challenge to government decision to put coal leases in Wyoming’s Powder River Basin up for sale.
",Federal Statutory Claims>NEPA,WildEarth Guardians v. Jewell
1089,Southern Utah Wilderness Alliance v. United States Department of the Interior,2010,"Challenge to authorization by BLM to open 4.5 million acres of public lands in Utah to oil and gas development.
",Federal Statutory Claims>NEPA,Southern Utah Wilderness Alliance v. United States Department of the Interior
1096,Montana Environmental Information Center v. United States Bureau of Land Management,2011,Action challenging federal approvals for oil and gas leasing on federal lands in Montana.,Federal Statutory Claims>NEPA,Montana Environmental Information Center v. United States Bureau of Land Management
1099,Western Watersheds Project v. Bureau of Land Management,2011,"Challenge to wind energy facility on grounds that EIS was required.
",Federal Statutory Claims>NEPA,Western Watersheds Project v. Bureau of Land Management
1104,WildEarth Guardians v. Salazar,2011,Challenge to leasing plan in Powder River Basin.,Federal Statutory Claims>NEPA,WildEarth Guardians v. Salazar
1108,League of Wilderness Defenders v. Martin,2010,"Challenge to timber sale in national forest, including on grounds that EA did not take into account climate change.
",Federal Statutory Claims>NEPA,League of Wilderness Defenders v. Martin
1111,"Hillsdale Environmental Loss Prevention, Inc. v. United States Army Corps of Engineers",2010,"Challenge to permit allowing the construction of rail yard.
",Federal Statutory Claims>NEPA,"Hillsdale Environmental Loss Prevention, Inc. v. United States Army Corps of Engineers"
1114,Town of Babylon v. Federal Housing Finance Agency,2010,"Challenge to FHFA’s actions concerning PACE programs.
",Federal Statutory Claims>NEPA,Town of Babylon v. Federal Housing Finance Agency
1117,Earth Island Institute v. Gibson,2011,"Challenge to government project to remove trees from forest for failure to address climate change.
",Federal Statutory Claims>NEPA,Earth Island Institute v. Gibson
1124,In re Russell City Energy Center LLC,2010,Challenge to first-ever Clean Air Act pre-construction permit issued with limits on greenhouse gas emissions.,Federal Statutory Claims>Clean Air Act,In re Russell City Energy Center LLC
1146,Barnes v. United States Department of Transportation,2010,"Challenge to order relieving agency of obligation to prepare EIS for proposed airport.
",Federal Statutory Claims>NEPA,Barnes v. United States Department of Transportation
1149,Center for Biological Diversity v. U.S. Department of State,2011,Challenge to oil sands pipeline on grounds that EIS is required under NEPA.,Federal Statutory Claims>NEPA,Center for Biological Diversity v. U.S. Department of State
1152,Save Strawberry Canyon v. U.S. Department of Energy,2011,"Challenge to “supercomputer” project, including on grounds that it failed to look at direct and indirect greenhouse gas emissions.

",Federal Statutory Claims>NEPA,Save Strawberry Canyon v. U.S. Department of Energy
1161,WildEarth Guardians v. United States Bureau of Land Management,2011,"Challenge to coal mining on 2,000 acres of federal grassland in Wyoming.
",Federal Statutory Claims>NEPA,WildEarth Guardians v. United States Bureau of Land Management
1166,Center for Biological Diversity v. Bureau of Land Management,2011,"Challenge to federal government leasing of public land for oil and gas development.
",Federal Statutory Claims>NEPA,Center for Biological Diversity v. Bureau of Land Management
1169,Northern Plains Resource Council v. Surface Transportation Board,1997,"Challenge to approval of application to build 130-mile rail line in Montana to haul coal.
",Federal Statutory Claims>NEPA,Northern Plains Resource Council v. Surface Transportation Board
1181,Diné Citizens Against Ruining Our Environment v. United States Office of Surface Mining Reclamation and Enforcement,2012,"Challenge to mine expansion permit.
",Federal Statutory Claims>NEPA,Diné Citizens Against Ruining Our Environment v. United States Office of Surface Mining Reclamation and Enforcement
1185,Black Mesa Water Coalition v. Salazar,2011,"Challenge to surface mining permit on grounds that approval violated NEPA.

",Federal Statutory Claims>NEPA,Black Mesa Water Coalition v. Salazar
1189,Coalition for a Sustainable 520 v. United States Department of Transportation,2011,"Challenge to FEIS concerning replacement bridge, including for failing to comply with GHG emissions law.

",Federal Statutory Claims>NEPA,Coalition for a Sustainable 520 v. United States Department of Transportation
1191,San Diego Navy Broadway Complex Coalition v. Department of Defense,2011,"Challenge to environmental assessment for upgrading naval facility on grounds that it did not address climate change.
",Federal Statutory Claims>NEPA,San Diego Navy Broadway Complex Coalition v. Department of Defense
1203,"Sierra Club, Iowa Chapter v. LaHood",2011,"Challenge to highway extension.
",Federal Statutory Claims>NEPA,"Sierra Club, Iowa Chapter v. LaHood"
1207,High Country Conservation Advocates v. United States Forest Service,2013,"Challenge to agency actions in connection with coal mine expansion.
",Federal Statutory Claims>NEPA,High Country Conservation Advocates v. United States Forest Service
1218,Coalition for the Advancement of Regional Transportation v. Federal Highway Administration,2010,"Challenge to construction and transportation management program to improve mobility across the Ohio River between Kentucky and southern Indiana.
",Federal Statutory Claims>NEPA,Coalition for the Advancement of Regional Transportation v. Federal Highway Administration
1223,Chesapeake Climate Action Network v. Export-Import Bank of the United States,2013,"Challenge to loan guarantee that allegedly would facilitate sale of $1 billion in coal for export.
",Federal Statutory Claims>NEPA,Chesapeake Climate Action Network v. Export-Import Bank of the United States
1230,League of Wilderness Defenders/Blue Mountains Biodiversity Project v. Connaughton,2012,"Challenge to vegetation management program in Oregon.
",Federal Statutory Claims>NEPA,League of Wilderness Defenders/Blue Mountains Biodiversity Project v. Connaughton
